"region_id","avg_observed","avg_relative_anomaly_no2","avg_relative_anomaly_pm25","avg_relative_anomaly_traffic_mapbox","avg_relative_anomaly_traffic_apple","avg_relative_anomaly_traffic_tomtom","avg_absolute_anomaly_no2","avg_absolute_anomaly_pm25","avg_absolute_anomaly_traffic_mapbox","avg_absolute_anomaly_traffic_apple","avg_absolute_anomaly_traffic_tomtom","avg_predicted_no2","avg_predicted_pm25","avg_predicted_traffic_mapbox","avg_predicted_traffic_apple","avg_predicted_traffic_tomtom"
"glasgow",13.8407608695652,-0.574631436172607,,,,,-18.6975178058226,,,,,32.5382786753878,,,,
"warrington",11.4161760128458,-0.549267041212605,,,,,-13.9118497955147,,,,,25.3280258083605,,,,
"oxford",13.8762049777668,-0.528010002989893,,,,,-15.5231574359872,,,,,29.399362413754,,,,
"exeter",17.3362814970356,-0.524580018939416,,,,,-19.1289117797829,,,,,36.4651932768184,,,,
"leeds",13.1136499064794,-0.514119134083997,,,,,-13.8757848014649,,,,,26.9894347079443,,,,
"cambridge",10.9499883922745,-0.504324284067295,,,,,-11.0617245434814,,,,,21.9337535251533,,,,
"belfast",19.006588486242,-0.477622261074338,,,,,-17.2500344210349,,,,,36.1164791235518,,,,
"york",11.2504074628889,-0.472681853193697,,,,,-10.0847343884335,,,,,21.3351418513224,,,,
"nottingham",14.2516279806792,-0.470182881731338,,,,,-12.6475179496198,,,,,26.899145930299,,,,
"reading",18.5970098990683,-0.464023804130499,,,,,-16.100445029688,,,,,34.6974549287564,,,,
"chatham",12.5115844649569,-0.435618689057884,,,,,-9.65708806615766,,,,,22.1686725311146,,,,
"plymouth",11.1691787184736,-0.427662099768756,,,,,-8.34582931080569,,,,,19.5150080292793,,,,
"sunderland",9.05048351950776,-0.426429848004685,,,,,-6.72872585535819,,,,,15.7792093748659,,,,
"luton",29.0605366847826,-0.415752998564315,,,,,-20.6796187860567,,,,,49.7401554708393,,,,
"derby",17.4117391304348,-0.409115812085417,,,,,-12.0555227908671,,,,,29.4672619213019,,,,
"liverpool",13.2386413043478,-0.403496767184604,,,,,-8.95510480808084,,,,,22.1937461124287,,,,
"manchester",15.8329453912542,-0.395207567654303,,,,,-10.3461940034731,,,,,26.1791393947273,,,,
"bradford",34.1825011014557,-0.384886020253712,,,,,-21.5166430985613,,,,,55.9039351036386,,,,
"coventry",15.7087262228261,-0.384596644250615,,,,,-9.81717654658173,,,,,25.5259027694078,,,,
"swindon",8.25615921442688,-0.376419892224567,,,,,-4.98377437466722,,,,,13.2399335890941,,,,
"blackpool",7.45269701086957,-0.376208130637777,,,,,-4.58364225688673,,,,,12.1837937131135,,,,
"barnsley",10.9272049689441,-0.375473126825041,,,,,-6.65980749114589,,,,,17.7371082385056,,,,
"edinburgh",14.9675435049552,-0.373090868887297,,,,,-8.9075968656903,,,,,23.8751403706455,,,,
"swansea",12.0906443176032,-0.367148184092313,,,,,-7.01437207594514,,,,,19.1050163935483,,,,
"birmingham",16.3817853293219,-0.364254235869228,,,,,-9.34210671286686,,,,,25.6472150298365,,,,
"preston",14.0610964673913,-0.362153236669361,,,,,-7.98353443105301,,,,,22.0446308984443,,,,
"london",24.1839576939025,-0.360887770632576,,,,,-13.6559655349788,,,,,37.8399232288813,,,,
"doncaster",19.9454929009777,-0.35746077960851,,,,,-11.0961809268475,,,,,31.0416738278252,,,,
"portsmouth",14.2627717391304,-0.355738164234103,,,,,-7.87538847359562,,,,,22.1381602127261,,,,
"wigan",11.2974524456522,-0.35438257059066,,,,,-6.20122700602859,,,,,17.4986794516808,,,,
"others",11.3803300186858,-0.352438259495709,,,,,-6.18593911101371,,,,,17.5518376463014,,,,
"aberdeen",17.0650612238559,-0.351810093830828,,,,,-9.26219420150406,,,,,26.32725542536,,,,
"birkenhead",14.7165270768634,-0.349584958182777,,,,,-7.8801139737055,,,,,22.5413416374324,,,,
"telford",10.6435504658385,-0.348600642976526,,,,,-5.69596591697388,,,,,16.3395163828124,,,,
"bristol",18.285623304389,-0.345991520416649,,,,,-9.82535465945785,,,,,28.3976747396179,,,,
"southend",13.0613955514452,-0.344716771174385,,,,,-6.87104736313017,,,,,19.9324429145754,,,,
"cardiff",14.470431391287,-0.342685500293062,,,,,-7.56620788606698,,,,,22.0791596948118,,,,
"worthing",20.9256095602767,-0.342253112242158,,,,,-10.8884665680177,,,,,31.8140761282944,,,,
"sheffield",19.5727830615942,-0.341112760874168,,,,,-10.1330328949602,,,,,29.7058159565544,,,,
"norwich",9.77084918478261,-0.333127521009651,,,,,-4.8809013261633,,,,,14.6517505109459,,,,
"northampton",7.94948369565217,-0.331694727944607,,,,,-3.94550505881822,,,,,11.8949887544704,,,,
"middlesbrough",10.0434835603708,-0.328016827753043,,,,,-4.90255076782184,,,,,14.9460343281926,,,,
"dundee",5.36486314791134,-0.316502205493959,,,,,-2.48426700442294,,,,,7.84913015233428,,,,
"leicester",17.6780891798419,-0.295190030734816,,,,,-7.40397542017021,,,,,25.0820646000121,,,,
"brighton",10.1313321393281,-0.283913051736131,,,,,-3.9666456337776,,,,,13.9713394982074,,,,
"blackburn",11.9339702417148,-0.28093180936619,,,,,-4.71646788931873,,,,,16.7886573612278,,,,
"hull",15.3913524129618,-0.210629803964433,,,,,-4.10691657446814,,,,,19.4982689874299,,,,
"bournemouth",14.7128781408809,-0.197692483240842,,,,,-3.7022661069622,,,,,18.7273994755372,,,,
"southampton",25.2400029114907,-0.118905802451709,,,,,-3.40619970988947,,,,,28.6462026213802,,,,
"newport",22.0048029891304,0.00391851248917428,,,,,0.0858895361147721,,,,,21.9189134530157,,,,
"aberdeen",6.68218876101165,,0.0159408186071896,,,,,0.104848192913758,,,,,6.57734056809789,,,
"aberdeen",,,,-0.544753134506713,,,,,,,,,,,,
"belfast",8.12617668371696,,-0.419327981375104,,,,,-5.81734158072607,,,,,13.8730107197932,,,
"belfast",,,,-0.514744381305013,-0.577348979591837,-0.660703422997572,,,,,,,,,,
"birkenhead",11.4057241759022,,-0.16374294111368,,,,,-2.16224420494734,,,,,13.2051140051661,,,
"birmingham",11.8693816500469,,-0.243715513316692,,,,,-3.83572443614484,,,,,15.7385321268432,,,
"birmingham",,,,-0.623080002444789,-0.607951020408163,-0.72931249512651,,,,,,,,,,
"blackburn",,,,-0.545059062887786,,,,,,,,,,,,
"blackpool",10.8844920076726,,-0.38661605258963,,,,,-6.71492234647536,,,,,17.3684519861436,,,
"blackpool",,,,-0.563929203427915,,,,,,,,,,,,
"bournemouth",17.3297217834172,,0.0835410121434076,,,,,1.33612155121519,,,,,15.993600232202,,,
"bournemouth",,,,-0.508132692435822,,-0.641775236825452,,,,,,,,,,
"bradford",,,,,-0.507428571428571,,,,,,,,,,,
"brighton",15.9942536183496,,,,,,,,,,,,,,,
"brighton",,,,-0.557316650262309,,,,,,,,,,,,
"bristol",13.7426517685213,,0.0364919800585625,,,,,0.487983238921874,,,,,13.3723420362161,,,
"bristol",,,,-0.548263799101445,-0.680804081632653,-0.685892124188618,,,,,,,,,,
"cardiff",12.060422548466,,-0.0158279334717702,,,,,-0.193387692741289,,,,,12.2181264589091,,,
"cardiff",,,,-0.584653485735818,-0.708740816326531,-0.693775552875523,,,,,,,,,,
"chatham",19.417747711226,,-0.00837902617831689,,,,,-0.16407661867948,,,,,19.5818243299054,,,
"chatham",,,,-0.554974136680378,,,,,,,,,,,,
"coventry",11.0844615657857,,-0.268467299099397,,,,,-4.06791856997506,,,,,15.1523801357608,,,
"coventry",,,,,,-0.761683189956435,,,,,,,,,,
"derby",,,,-0.558466494715461,,,,,,,,,,,,
"dundee",,,,-0.657363415248478,,,,,,,,,,,,
"edinburgh",5.96677546888321,,-0.211682473017924,,,,,-1.60222466704663,,,,,7.56900013592984,,,
"edinburgh",,,,-0.624918454425515,-0.733761224489796,-0.671355893761466,,,,,,,,,,
"glasgow",6.09068075092356,,-0.160455018219678,,,,,-1.16405947515436,,,,,7.25474022607792,,,
"glasgow",,,,-0.505778175905878,-0.591422448979592,-0.684027777777778,,,,,,,,,,
"hull",12.628362745098,,0.11896625173955,,,,,1.34262224535917,,,,,11.2857404997389,,,
"hull",,,,-0.555511672698386,,-0.63128480444963,,,,,,,,,,
"leeds",11.3768907230877,,-0.104286843237399,,,,,-1.32459818236444,,,,,12.7014889054521,,,
"leeds",,,,,-0.58974693877551,,,,,,,,,,,
"leicester",10.215149048025,,-0.10776085280255,,,,,-1.23374229474009,,,,,11.4488913427651,,,
"leicester",,,,-0.651302872972249,,-0.682030144153033,,,,,,,,,,
"liverpool",11.1862595287484,,-0.169264715032578,,,,,-2.27923270586527,,,,,13.4654922346137,,,
"liverpool",,,,,-0.565226530612245,-0.592549912121711,,,,,,,,,,
"london",13.6379772894308,,-0.0863302517877759,,,,,-1.28861660964072,,,,,14.9265938990715,,,
"london",,,,-0.745567749750151,-0.658020408163265,-0.710607319908706,,,,,,,,,,
"luton",,,,-0.710024031542769,,,,,,,,,,,,
"manchester",11.5550970300834,,-0.167363123271604,,,,,-2.32261767729996,,,,,13.8777147073834,,,
"manchester",,,,-0.554041836482125,-0.632177551020408,-0.721396272866861,,,,,,,,,,
"middlesbrough",8.39848235230694,,-0.155318703985895,,,,,-1.54430008165701,,,,,9.94278243396395,,,
"middlesbrough",,,,-0.489367297466802,,-0.577610835061815,,,,,,,,,,
"milton keynes",,,,-0.613977785162204,,,,,,,,,,,,
"newport",13.2175067490764,,0.0974776674764918,,,,,1.17397534905407,,,,,12.0435314000224,,,
"newport",,,,-0.554805511022147,,,,,,,,,,,,
"northampton",13.970152173913,,0.132950634093484,,,,,1.63938351240725,,,,,12.3307686615058,,,
"norwich",11.5759870701904,,0.147634711256498,,,,,1.4891650556172,,,,,10.0868220145732,,,
"nottingham",11.6535905538764,,-0.102271211822942,,,,,-1.32760232681573,,,,,12.9811928806921,,,
"nottingham",,,,-0.66988911822341,-0.650687755102041,-0.619584463055598,,,,,,,,,,
"others",11.4947371830935,,-9.09737840218738e-05,,,,,-0.00104344989257784,,,,,11.4697866401485,,,
"oxford",10.4266751562944,,-0.180337857310035,,,,,-2.29402354777917,,,,,12.7206987040736,,,
"peterborough",,,,-0.642963590160866,,,,,,,,,,,,
"plymouth",18.2542732310315,,0.0781900237251117,,,,,1.32379453121607,,,,,16.9304786998155,,,
"plymouth",,,,-0.533580431957984,,,,,,,,,,,,
"portsmouth",,,,-0.56596778945301,-0.594581632653061,-0.622333807508298,,,,,,,,,,
"preston",10.0850123614663,,-0.306130546055894,,,,,-4.449439766583,,,,,14.5344521280493,,,
"preston",,,,,,-0.681222822124117,,,,,,,,,,
"reading",11.0191871370781,,-0.0422102099066711,,,,,-0.485620338479109,,,,,11.5048074755572,,,
"reading",,,,-0.608779996652765,-0.683877551020408,-0.719810452163393,,,,,,,,,,
"sheffield",13.51092016553,,-0.224250476003151,,,,,-3.905681131134,,,,,17.416601296664,,,
"sheffield",,,,,-0.583622448979592,-0.666330097205621,,,,,,,,,,
"slough",,,,-0.75302197465107,,,,,,,,,,,,
"southampton",15.9997466609832,,-0.00823141069941746,,,,,-0.126655720276044,,,,,15.3868789811456,,,
"southampton",,,,-0.616627239850663,,-0.728412424193214,,,,,,,,,,
"southend",13.3763085038363,,-0.051147594987019,,,,,-0.721045766613489,,,,,14.0973542704498,,,
"southend",,,,-0.554484204082693,,,,,,,,,,,,
"stoke",,,,-0.6644370096281,,,,,,,,,,,,
"sunderland",9.88127642796249,,-0.257123445681105,,,,,-3.4200942648064,,,,,13.3013706927689,,,
"swansea",13.0502964906634,,-0.0616701155802853,,,,,-0.8577082604951,,,,,13.9080047511585,,,
"swansea",,,,-0.539980818279825,,-0.651203582237319,,,,,,,,,,
"swindon",,,,-0.583804869049408,,,,,,,,,,,,
"telford",,,,-0.539673498771455,,,,,,,,,,,,
"warrington",11.8657002742849,,-0.171647860362264,,,,,-2.45876356964763,,,,,14.3244638439325,,,
"warrington",,,,-0.583363533281654,,,,,,,,,,,,
"wigan",11.4876833617505,,-0.189800643701629,,,,,-2.69115209701274,,,,,14.1788354587632,,,
"worthing",12.6054858043349,,-0.104789424977375,,,,,-1.47554290113623,,,,,14.0810287054711,,,
"york",10.454131301317,,-0.0113736477615127,,,,,-0.120269510118319,,,,,10.5744008114353,,,
"york",,,,-0.58665347806194,,,,,,,,,,,,
